id,username,title,content,author,url,image_url,language,published_at
38,testuser,"China Evergrande's EV arm units to enter bankruptcy proceedings, court rules","BEIJING: China Evergrande's electric vehicle group said on Monday (Aug 5) a Chinese court had ruled that two of its subsidiaries should enter bankruptcy and be reorganised, sending the EV group's shares plunging 7.9 per cent, the lowest since May 16. The news about the subsidiaries of the embattled ...",CNA,https://www.channelnewsasia.com/business/china-evergrandes-ev-arm-units-enter-bankruptcy-proceedings-court-rules-4526511,"https://onecms-res.cloudinary.com/image/upload/s--reXaqWKr--/fl_relative,g_south_east,l_mediacorp:cna:watermark:2024-04:reuters_1,w_0.1/f_auto,q_auto/c_fill,g_auto,h_676,w_1200/v1/one-cms/core/2024-08-05t144006z_2_lynxmpek74006_rtroptp_3_china-evergrande-everg-vehicle.jpg?itok=PkSgS3sy",en,2024-08-05 17:29:18 +0000
39,testuser,Emergency alert issued after water begins spilling over landslide damming Chilcotin River,"Water has begun spilling over the landslide blocking the Chilcotin River, officials said Monday morning. The Cariboo Regional District Emergency Operations Centre told CBC News that water began moving over the dam around 9 a.m. PT. ",cbc,https://www.cbc.ca/news/canada/british-columbia/chilcotin-landslide-aug-5-1.7285664?cmp=rss,https://i.cbc.ca/1.7285677.1722879353!/cpImage/httpImage/image.jpg_gen/derivatives/16x9_620/landslide-bc-20240805.jpg,en,2024-08-05 17:22:34 +0000
40,testuser,"Arrest warrants filed after man forced to strip at gunpoint, give up his phone","ST. LOUIS – On Friday, a St. Louis Circuit Court judge filed arrest warrants for two men accused of holding someone up at gunpoint, stealing their cellphone, and forcing the victim to strip.
According to probable cause statements filed by the St. Louis Metropolitan Police Department, the robbery too...",Kevin S. Held,https://fox2now.com/news/missouri/arrest-warrants-filed-after-man-forced-to-strip-at-gunpoint-give-up-his-phone/,None,en,2024-08-05 17:21:41 +0000
41,testuser,Folsom Police enforcing pedestrian safety as school year begins,"(FOX40.COM) -- The Folsom Police Department will be increasing their vigilance regarding pedestrian safety this week, according to a new release from the department. 
On Tuesday, officers at various locations across the city will be conducting pedestrian safety operations where they will be looking ...",Matthew Nobert,https://fox40.com/news/local-news/sacramento-county/folsom/folsom-police-enforcing-pedestrian-safety-as-school-year-begins/,None,en,2024-08-05 17:20:51 +0000
42,testuser,Prosecutors plan to charge former Kansas police chief over his conduct following newspaper raid - KVIA,"TOPEKA, Kan. (AP) — Two special prosecutors say they plan to file an obstruction of justice charge against a former central Kansas police chief over his conduct following a raid last year on his town’...",Associated Press,https://kvia.com/news/2024/08/05/prosecutors-plan-to-charge-former-kansas-police-chief-over-his-conduct-following-newspaper-raid/,https://kvia.b-cdn.net/2023/06/News.png,en,2024-08-05 17:15:59 +0000
43,testuser,Bloomberg apologizes for premature story on prisoner swap and disciplines the journalists involved,Bloomberg News is apologizing for a premature story written last week about the prisoner exchange involving the United States and Russia and says it has disciplined the journalists involved,ABC News,https://abcnews.go.com/Entertainment/wireStory/bloomberg-apologizes-premature-story-prisoner-swap-disciplines-journalists-112582826,https://i.abcnewsfe.com/a/71f60ca6-e06b-4cf9-85ed-68d6ac157e00/wirestory_7530de482b1314719ebc967bda67ad39_16x9.jpg?w=1600,en,2024-08-05 17:10:18 +0000
44,testuser,Man injured during alleged robbery: Mobile Police,"MOBILE, Ala. (WKRG) — Mobile police are investigating after a man was found with head injuries in connection with an alleged robbery. 



		Man charged with attempted murder after two people stabbed in Escambia County, Florida	


According to an MPD news release, officers were called to the area of ...",Summer Poole,https://www.wkrg.com/mobile-county/man-injured-during-alleged-robbery-mobile-police/,None,en,2024-08-05 17:09:53 +0000
45,testuser,Two-vehicle collision blocks Route 94,"Two-vehicle collision blocks Route 94 reported in York County Share Copy Link Copy

IN HOLLYWOOD, I’M DAVID DANIEL. THIS IS COVERAGE YOU CAN COUNT ON. WGAL NEWS 8 TODAY STARTS NOW. HURRICANE DEBBY VER...",Rachael Lardani,https://www.wgal.com/article/two-vehicle-collision-blocks-route-94-york-county-pennsylvania/61793723,"https://kubrick.htvapps.com/htv-prod-media.s3.amazonaws.com/images/crash-667ca03c55fa4.png?crop=1.00xw:1.00xh;0,0&resize=1200:*",en,2024-08-05 17:03:00 +0000
46,testuser,Middle East war fears ramp up as F-22 Raptors rush to keep the lid on Iran,"NEW You can now listen to Fox News articles!

Wow, a whole squadron of U.S. Air Force F-22 stealth fighters is deploying to the Middle East to keep a lid on Iran. This is the biggest crisis deployment...",Rebecca Grant,https://www.foxnews.com/opinion/middle-east-war-fears-ramp-up-f-22-raptors-rush-keep-lid-iran,https://static.foxnews.com/foxnews.com/content/uploads/2024/08/F-22-RAPTOR-GETTY.jpg,en,2024-08-05 16:56:01 +0000
47,testuser,NBC News: Here's when Harris is expected to announce her VP pick,"Vice President Kamala Harris is expected to announce her vice presidential pick on Tuesday before a rally in Philadelphia NBC News is reporting, citing two sources ""famliar with the plan.""",wgal,https://www.wgal.com/article/kamala-harris-vice-president-announcement/61793605,"https://kubrick.htvapps.com/htv-prod-media.s3.amazonaws.com/images/kamala-harris-getty-images-66b102c6cd753.jpg?crop=1.00xw:0.846xh;0,0.0856xh&resize=640:*",en,2024-08-05 16:55:00 +0000
